city, id, country_id, latitude, longitude
Adis ababa,1,1,38.75444,9.025685
Mekele,2,1,39.47089,13.49539
Kijabe,3,2,36.573608,-0.947143
Nairobi,4,2,36.896594,-1.274082
Eldoret,5,2,35.279031,0.517851
Bomet,6,2,,
Malamulo,7,7,,
Nyeri,8,2,36.942347,-0.410137
Mombasa,9,2,39.676303,-4.065274
Kigali,10,3,30.109235,-1.966557
Kampala,11,4,32.617726,0.374965
Butare,12,3,29.735192,-2.590521
Kagando,13,4,,
Luangwa,14,5,,
Kitwe,15,5,28.217896,-12.806994
Lusaka,16,5,29.320625,-15.302114
Chipata,17,5,,
Bulawayo,18,6,28.54541,-20.138667
Blantyre,19,7,34.936554,-15.691032
,20,6,,
Harare,21,6,31.063164,-17.860305
Ndola,22,5,28.637837,-12.97194
Gulu,23,4,32.405147,2.897512
Nakuru,24,2,36.083065,-0.271067
Mbarara,25,4,30.839964,-0.251741
Solwezi,26,5,,
Gondar,27,1,-118.113683,33.799273
Hawassa,28,1,,
Jimma,29,1,-84.598109,39.22385
Soddo,30,1,,
Kikuyu Town,31,2,,
Embu,32,2,37.452327,-0.52442
Mwanza,33,8,32.812139,-2.472054
Arusha,34,8,36.089618,-2.919098
Kilimanjaro,35,8,37.658154,-3.738221
Moshi,36,8,37.329255,-3.342784
Dar es Salaam,37,8,,
Copperbelt Province,38,5,,
Maputo,39,9,32.432354,-25.537723
Gweru,40,6,29.81607,-19.451457
Karatina,41,2,,
Kakamega,42,2,34.771329,0.285603
Kivuye,43,3,,
Zanzibar,44,8,39.199436,-6.197813
Marondera,45,6,,
Mutare,46,6,32.650139,-18.983971
Adama,47,1,24.430893,36.741568
Asella,48,1,,
Lilongwe,49,7,33.74255,-14.022038
Rwamagana,50,3,,
Soroti,51,4,33.59871,1.800356
Livingstone,52,5,25.851561,-17.861704
Kisii,53,2,34.782657,-0.649951
Kisumu,54,2,34.750688,-0.102224
Wolayita,55,1,,
Attat,56,1,-83.88081,30.4543
Choma,57,5,26.975878,-16.808447
Beira,58,9,34.841727,-19.819717
Bujumbura,59,10,29.353522,-3.368825
Kericho,60,2,35.277691,-0.358296
Entebbe,61,4,32.453821,0.064354
Kabale,62,4,30.010476,-1.238373
Mzuzu,63,7,34.017388,-11.452935
Masaka,64,4,31.830569,-0.498651
Nampula,65,9,39.045176,-15.169002
Chingola,66,5,27.867901,-12.549955
Thika,67,2,37.085484,-1.039097
Jinja,68,4,33.353118,0.488136
Fort Portal,69,4,,
Wembuye,70,2,,
Maua,71,2,-46.467781,-23.662865
Meru,72,2,37.636383,0.050982
Maseno,73,2,-82.355595,27.079539
Iringa,74,8,35.688316,-7.960832
Diani Beach,75,2,,
Mbale,76,4,34.193387,1.011308
