Country Code,Income Level,populationAbs,Surgeons,Anaesthesiologists,Obstetricians
AFG,LIC,28400000,0,8,0
ALB,UMIC,2913000,161,0,45
DZA,UMIC,38186000,3204,825,599
AND,HIC,73000,20,10,14
ATG,HIC,91000,5,2,6
ARG,HIC,42980000,0,4500,0
ARM,LMIC,3006000,1011,419,784
AUS,HIC,22728000,5666,3876,1669
AUT,HIC,8534000,7767,1761,2518
AZE,UMIC,9296000,0,0,1982
BHR,HIC,1334000,201,67,58
BGD,LMIC,154700000,2615,1200,850
BRB,HIC,283000,18,19,12
BLR,UMIC,9466000,6428,2466,2590
BEL,HIC,11128000,4970,1835,1377
BLZ,UMIC,340000,23,10,4
BEN,LIC,10590000,81,20,90
BTN,LMIC,766000,6,3,13
BOL,LMIC,10560000,1807,1270,500
BIH,UMIC,3824000,275,54,115
BWA,UMIC,2039000,40,18,18
BRA,UMIC,200400000,32298,12390,19301
BGR,UMIC,7265000,5859,1511,1408
BFA,LIC,17419000,36,58,10
CPV,LMIC,490000,57,11,12
CMR,LMIC,22250000,83,22,151
CAN,HIC,35160000,7489,3186,2076
CYM,HIC,58000,65,18,17
CAF,LIC,4709000,9,0,8
TCD,LIC,11412000,18,2,13
,HIC,137000,27,16,10
CHL,HIC,17388000,7137,2322,1931
CHN,UMIC,1350659000,293021,194634,53471
COL,UMIC,4779000,2776,2634,2338
COD,LIC,67510000,54,32,39
COG,LMIC,4448000,7,0,3
COK,UMIC,10000,1,1,1
CRI,UMIC,4758000,406,280,375
CIV,LMIC,20805000,318,80,238
HRV,HIC,4256000,2090,738,761
CUB,UMIC,11363000,8026,1806,3001
CYP,HIC,1154000,213,59,35
CZE,HIC,10514000,8441,1989,2662
DNK,HIC,5592000,2501,975,565
DJI,LMIC,865000,17,9,13
DMA,UMIC,72000,2,2,4
ECU,UMIC,15500000,5461,1996,2016
EGY,LMIC,89575000,23966,5533,15363
SLV,LMIC,6021000,1222,118,0
ERI,LIC,4501000,0,1,17
EST,HIC,1314000,189,536,938
ETH,LIC,96506000,349,44,147
FJI,UMIC,886000,16,9,12
FIN,HIC,5464000,4081,933,1000
FRA,HIC,66207000,22145,11479,8127
PYF,HIC,279000,40,31,20
GEO,LMIC,4491000,0,0,1453
DEU,HIC,80889000,54863,19897,16522
GRC,HIC,11028000,11240,1888,2862
GRD,UMIC,106000,3,2,7
GTM,LMIC,16015000,201,155,188
GUY,LMIC,764000,45,9,13
HTI,LIC,10572000,115,60,300
