name,district
Adis ababa,Addis Ababa
Kijabe,Central
Bomet,Rift Valley
Malamulo,Thyolo
Kagando,Kasese
Gondar,Amhara
Hawassa,"Southern Nations, Nationalities and Peoples"
Jimma,Addis Ababa
Soddo,"Southern Nations, Nationalities and Peoples"
Kikuyu Town,Central
Kilimanjaro,Kilimanjaro
Copperbelt Province,Copperbelt
Karatina,Central
Kivuye,Nyanza
Marondera,Mashonaland East
Adama,Addis Ababa
Asella,Addis Ababa
Rwamagana,Eastern
Wolayita,"Southern Nations, Nationalities and Peoples"
Attat,"Southern Nations, Nationalities and Peoples"
Wembuye,Bungoma
Maua,Eastern
Maseno,Nyanza
Diani Beach,Coast
Kitovu,Masaka
Kisiizi,Kabale
Thyolo,Thyolo
Ishaka,Bushenyi
Hoima,Hoima
Kalungu,Kalangala
Yumbe,Yumbe
Nakaseke,Nakaseke
kilembe,Kasese
Gikonko,Southern
Mugonero,Kigali City
Kibogora,Western
Dessie,Amhara
Oromia,Amhara
Mojo,Amhara
Awassa,"Southern Nations, Nationalities and Peoples"
Kalulushi,Copperbelt
Kabarnet,Rift Valley
Litein,Nyanza
Kiambu,Central
Kerugoya,Central
Muranga,Central
Diani,Coast
Kisubi,Wakiso
Kitui,Eastern
Naymira,Nyanza
Kikuyu,Central
Mumias,Western
Magadi,Rift Valley
Afar,Afar
Uhabeshi,
Bahar Dar,Amhara
Mkele,
Dissie,Amhara
Arbaminich,"Southern Nations, Nationalities and Peoples"
Benishangule,Benshangul-Gumaz
Debre Tabr,Amhara
Ambo,Addis Ababa
Asasa,Addis Ababa
Bishoftu,Addis Ababa
Metu,Addis Ababa
Shashamane,Addis Ababa
Wollega,Nairobi
Chiro,Addis Ababa
Fiche,Addis Ababa
Woliso,
Bonga,
Butajira,"Southern Nations, Nationalities and Peoples"
Dilla,"Southern Nations, Nationalities and Peoples"
Aira,
Hosanna,
Jinka,"Southern Nations, Nationalities and Peoples"
Axum,Tigray
Michew,Kaskazini-Pemba
Tigray,Tigray
Almata,
Somaliland,Somaliland
