1,AAFPRS Foundation - Face to Face,N/A,http://www.aafprs.org/patient/humanitarian/pa_ffinter.html,Y,N,N,Y,N,N
2,Adventist Health International,ahi@llu.edu,http://www.ahiglobal.org/main/main/,N,Y,N,Y,Y,N
3,Adventure In Missions (Project Hope Clinic),info@adventureinmissions.com,http://adventureinmissions.com/project-hope-clinic/,N,Y,N,Y,Y,N
4,Africa Christian Medical Missions,http://www.acmmi.org/about/,http://acmmi.org/,N,N,N,Y,Y,N
5,Africa Inland Mission,http://aimint.org/usa/contact/contact/,http://www.aimint.org/can/en/give/64-bethany-kids,N,Y,N,N,Y,N
6,Africa Surgery,N/A,http://www.africasurgery.org,Y,N,N,Y,Y,N
7,Agape In Action,N/A,http://www.agapeinaction.org/AIA/Teams.html,N,Y,N,Y,Y,N
8,Aid for Haiti,contact@aidforhaiti.org,http://www.aidforhaiti.org/causes/surgical-ministry,N,N,N,Y,Y,N
9,"Aiutare i Bambini Onlus, To Help Children Foundation",info@aiutareibambini.it,http://www.aiutareibambini.it/en/our-work,Y,Y,N,Y,Y,N
10,ALIMA,office@alima-ngo.org,http://www.alimaong.org/en/,N,N,N,Y,N,Y
11,Alliance for Smiles,N/A,http://www.idealist.org/view/nonprofit/sDJ5TtdCXh8d/,Y,Y,N,Y,Y,N
12,Aloha Medical Missions,info@alohamedicalmission.org,http://www.alohamedicalmission.org/MissionsOverview.html,N,N,N,Y,N,N
13,Amazon-Africa Aid Organization,info@amazonafrica.org,http://www.amazonafrica.org/,N,Y,N,Y,Y,N
14,American Baptist International Ministries,http://internationalministries.org/contact,http://internationalministries.org/,N,Y,N,N,Y,N
15,"American Committee for Shaare Zedek Hospital in Jerusalem, Inc.",graderman@acsz.org,www.acsz.org,N,N,N,Y,N,Y
16,American Refugee Committee,Info@archq.org,http://www.arcrelief.org/site/PageServer?pagename=programs_reproductivehealth,N,Y,N,Y,Y,Y
17,American Service to India (ASTI),lisapiner@gmail.com,www.asti1.net,N,N,N,Y,Y,N
18,AmeriCares Medical Services,mloparco@americares.org ,http://www.americares.org,N,N,N,Y,Y,Y
19,Amigos Hospitalito Atitlan,info@hospitalitoatitlan.org,www.hospitalitoatitlan.org,N,Y,N,N,Y,N
20,Amref Health Africa,amrefusa@amrefusa.org,http://www.amref.org,N,Y,N,N,Y,N
21,Angkor Hospital for Children (AHC),ahc@angkorhospital.org,http://angkorhospital.org/,N,Y,N,N,Y,N
22,APROQUEN,N/A,http://www.aproquen.org,N,Y,N,Y,Y,N
23,Aravind Eye Foundation,patientcare@aravind.org,http://www.aravind.org/Default.aspx,Y,Y,N,N,Y,N
24,Armenian Eyecare Project,aecp@eyecareproject.com,http://www.eyecareproject.com/about-aecp/mobile-eye-hospital,N,N,Y,Y,Y,N
25,Article 25,info@article-25.org,http://www.article-25.org,N,Y,N,N,Y,N
26,"Asociacion de Ayuda a Niños en Estado Crítico, ABP (ADANEC ABP) ",adanec@prdigy.net.mx ,http://www.ada-nec.org/home/,N,Y,N,N,Y,N
27,"Association of Baptists for World Evangelism, Carolyn Kempton Memorial Hospital",N/A,http://www.abwe.org,N,N,N,Y,Y,N
28,Association of Filipino Physicians of Southern IL,boyrenato1@yahoo.com,http://afpsi.webs.com/,Y,N,N,Y,Y,N
