,hq_city,hq_country,number_branches,branch_names
1,Alexandria,USA,1,USA
2,"Loma Linda, CA",USA,1,USA
3,"El Paso, TX",USA,2,"USA, Canada"
4,"Houston, TX",USA,1,USA
5,"Peachtree City, GA",USA,10,"Australia, Canada, Europe, Hong Kong, Korea, Netherlands, New Zealand, South America, South Africa, USA"
6,Morristown,USA,1,USA
7,"Porter, TX",USA,1,USA
8,"Manchester, TN",USA,1,USA
9,Milan,Italy,1,Italy
10,Montreuil,France,6,"France, Burkina Faso, Chad, Niger (Niamey), Mali, DRC"
11,San Franciso,USA,1,USA
12,"Honolulu, HI",USA,1,USA only
13,"Ann Arbor, MI",USA,1,USA
14,"Valley Forge, PA",USA,1,USA
15,New York,USA,1,USA
16,"Minneapolis, MN",USA,11,"USA, Rwanda, South Sudan, Uganda, Sudan, Pakistan, Somalia, Thailand, Myanmar, Jordan, Democratic Republic of Congo (Kinshasa)"
17,Costa Mesa,USA,1,USA
18,Stamford,USA,7,"World Wide, Africa, Asia, Caribbean, Central America, South America, Eastern Europe, Europe"
19,Jonesport,USA,1,USA
20,Nairobi,Kenya,8,"USA, Ethiopia, South Africa, Uganda, South Sudan, Tanzania, Senegal"
21,Siem Reap,Cambodia,1,Cambodia
22,Managua,Nicaragua,1,Nicaragua
23,Tamil Nadu,India,1,India
24,Newport,USA,1,USA
25,London,UK,7,"International, Africa, Asia, Americas, Europe, Oceania, Middle East"
26,Sertoma,Mexico,1,Mexico
27,Boone,USA,1,USA
28,Breese,USA,1,USA
29,Okayama,Japan,33,"Afghanistan, Albania, Bosnia & Herzegovina, Bolivia, Cambodia, Canada, Colombia, Guyana, Honduras, India, Indonesia, Kazakhstan, Korea, Kosovo, Malaysia, Mongolia, Nepal, New Zealand, Pakistan, Peru, Philippines, Sri Lanka, Sudan, Taiwan, Uganda, Vietnam, Zambia, Hyogo, Kanagawa, Okinawa, Kamakura, Kochi"
30,Austin,USA,1,USA
31,Manly,Austrailia,1,Australia
32,Milan,Italy,5,"Italy, Africa, Eastern Europe, Middle East, Central/South America"
33,"Nashville, TN",USA,1,USA
34,"Rome, GA",USA,1,USA
35,"The Colony, TX",USA,1,USA
36,Hattiesburg,USA,1,USA
37,Little Rock,USA,1,USA
38,Cleveland,USA,1,USA
39,Verdugo City,USA,1,USA
40,Kingwood,USA,1,USA
41,"Berega, Tanzania",Tanzania,1,Tanzania
42,Kingston,Canada,4,"Canada, Kenya, UK, USA"
43,Onitsha,Nigeria,1,Nigeria
44,Bidada,India,1,India
45,Bethlehem,USA,1,USA
46,"Lebamba, Gabon",Gabon,1,Gabon
47,London,UK,1,UK
